題號|題目|選項1|選項2|選項3|選項4|正確答案
1|永續投資中金融業的角色為何? 甲 符合股東及社會長期最佳利益;乙 引導資金流向永續發展相關項目;丙 協助不利永續發展之產業轉型|僅甲、乙|僅甲、丙|僅乙、丙|甲、乙、丙皆是|4
2|上市上櫃公司永續發展實務守則中,上市上櫃公司之董事會於公司推動永續發展目標,內容不包含下列哪一項?|鼓勵公司追求最大化短期獲利|考量利害關係人之利益,提出永續發展使命或願景|永續發展納入公司之營運活動與發展方向|永續發展相關資訊揭露之即時性與正確性|1
3|金融業將 ESG 規範納入決策機制,其用意包含下列何者?|投資授信之參考|僅為了應付監管要求|減少對社會責任的承擔|增加短期財務投機機會|1
4|政府間氣候變遷專門委員會(IPCC)第六次評估報告主要探討以下哪個議題?|氣候變遷對世界的影響|減緩氣候變遷的進展 and 承諾進行最新的全球評估|強調氣候變遷、人類社會、生態系統之間的互動|全球暖化的原因|3
5|我國氣候變遷因應法中,碳費的徵收方式是下列哪一個選項?|僅針對特定高排放產業|由行政院環境保護署徵收|分階段徵收且得抵換|以上皆是|4
6|排除篩選(Exclusion Screening)是一種永續投資策略,其最主要目的是?|最大化短期股價|優化投資組合分散性|提高公司的 ESG 評級|排除特定負面行業或公司|4
7|關於「上市櫃公司永續發展路徑圖」,下列敘述何者有誤?|訂定溫室氣體盤查揭露時程|按實收資本額自 2023 年起分階段推動|2027 年全體完成盤查|要求揭露內容包含範疇三|4
8|《氣候變遷綱要公約》(UNFCCC)是於哪一個會議中所提出?|人類環境會議|巴黎會議|日內瓦會議|聯合國環境與發展會議|4
9|歐盟發布 SFDR 之目的為何?|規範主要金融市場參與者強制揭露 ESG 落實狀況|限制碳排放總量|規定綠色產品售價|要求企業強制捐款|1
10|我國推動上市櫃公司永續發展行動方案,於 2023 年起推動 IPO 公司至少幾位不同性別董事?|1 位|2 位|3 位|4 位|1
11|ESG 涵蓋內容不包含以下何者?|社會責任|環境保護|公司治理|政府保護|4
12|企業永續報告指令(CSRD)第一批適用 NFRD 的大型企業,將從何時開始揭露並於 2025 年發布報告?|2023年12月31日|2024年1月1日|2024年12月31日|2025年1月1日|2
13|各國主管機關發布之盡職治理守則,主要規範對象為何?|協助金融業因應 ESG 風險|引導金融業以捐助解決社會問題|機構投資人|上市櫃公司董事會|3
14|下列何者非綠色債券中之綠色投資計畫?|溫室氣體減量|污染防治|能源效率提升|名譽風險管理|4
15|巴黎協定是在解決哪一方面的全球挑戰?|氣候變遷|勞工權益|性別平等|生物多樣性|1
16|影響力投資的主要特點是什麼?|追求最高市場報酬|投資集中在新興市場|旨在產生社會/環境影響同時實現財務報酬|純慈善不求報酬|3
17|臺灣永續經濟活動之認定方法中,針對個別經濟活動之特性,訂定幾項環境目的?|五項|六項|七項|八項|2
18|歐洲永續性報告標準(ESRS)是由哪個組織制定?|歐盟執行委員會|歐洲監管機構|EFRAG|國際會計準則|3
19|永續金融揭露規範(SFDR)需揭露哪兩類產品?|環境或社會特徵及永續性目標|獲利目標及環境|氣候公平及獲利|以上皆非|1
20|赤道原則 A 類專案代表?|無風險|低風險|中風險|高風險|4
21|下列何者屬於金融監督管理委員會「綠色金融行動方案 3.0」之內容?|推動碳盤查揭露|發展永續經濟活動認定指引|鼓勵金融業揭露氣候風險|以上皆是|4
22|格拉斯哥氣候盟約(Glasgow Climate Pact)首次提及要減少哪種能源的使用?|核能|煤炭|天然氣|太陽能|2
23|關於 1.5°C 氣候目標,主要來自於哪一個國際協定?|京都議定書|蒙特婁議定書|巴黎協定|巴塞隆納公約|3
24|下列何者非 TCFD 氣候相關財務揭露建議之四大核心要素?|治理|策略|融資|風險管理|3
25|「格拉斯哥淨零金融聯盟」(GFANZ)的主要目標為何?|推動全球金融體系在 2050 年實現淨零排放|提供低收入國家無償貸款|規範石油公司的獲利|禁止所有化石燃料投資|1
26|什麼是範疇三(Scope 3)溫室氣體排放?|公司直接擁有的排放源|來自公司購買的電力、蒸汽、熱力或冷卻|公司價值鏈中發生的所有間接排放|僅限於員工通勤產生的排放|3
27|ESG 投資中的「參與」(Engagement)是指?|投資人與被投資公司溝通以改善其 ESG 表現|參加股東大會投票|買入公司股票|僅限於參加法說會|1
28|GRI 準則 2021 版中,強調企業應優先揭露什麼議題?|重大性議題(Material Topics)|所有可能的環境數據|僅限於財務指標|競爭對手的資料|1
29|下列何種機制旨在解決碳邊境調整機制(CBAM)所帶來的貿易障礙?|碳稅|碳費|碳交易系統(ETS)|以上皆是|4
30|聯合國永續發展目標(SDGs)共有幾項?|15 項|16 項|17 項|18 項|3
31|關於「責任投資原則」(PRI),其六大原則之首要內容為何?|將 ESG 議題納入投資分析及決策過程|要求企業強制捐款|僅限於環境保護投資|追求短期利潤最大化|1
32|下列何者屬於永續發展目標(SDGs)中的「可負擔的潔淨能源」?|目標 7|目標 13|目標 14|目標 15|1
33|依據我國「上市上櫃公司永續發展實務守則」,公司應建立何種制度以落實誠信經營?|舉報制度與申訴管道|股東會投票制度|員工海外旅遊制度|贊助政治人物制度|1
34|碳抵換(Carbon Offset)的主要邏輯為何?|透過資助外部減碳專案來補償自身的排放|直接停止所有工廠運作|僅購買綠電但不計算排碳|強制要求供應商搬遷|1
35|所謂「漂綠」(Greenwashing)是指什麼行為?|誇大或虛假宣傳產品的環保效益|在工廠內種植大量綠色植物|使用綠色的包裝紙|將資金投入綠色能源研發|1
36|氣候風險中的「轉型風險」不包含下列哪一項?|極端天氣導致的實體資產毀損|政策與法律變動|技術取代與創新|市場偏好改變|1
37|金融機構在進行授信審核時,參考赤道原則的主要目的是?|管理專案融資中的環境與社會風險|增加貸款利息收入|縮短審核流程時間|僅為了提高品牌知名度|1
38|下列何者是「全球報告倡議組織」(GRI)發布準則的核心精神?|透明揭露組織對經濟、環境及社會的影響|僅揭露對公司獲利有幫助的資訊|限制報告書的頁數|要求所有公司必須使用英文編寫|1
39|關於「淨零排放」(Net Zero),下列敘述何者正確?|人為排放量與人為移除量達成平衡|完全不排放任何二氧化碳|僅限於減少範疇一的排放|只要種樹就不需要減碳|1
40|國際永續準則理事會(ISSB)發布的 S1 與 S2 準則,其中 S2 主要聚焦於?|氣候相關揭露|一般性永續揭露|勞工權益揭露|反貪腐揭露|1
41|「內部碳定價」是企業用來做什麼的工具?|管理氣候風險與引導減碳投資決策|逃避政府碳費徵收|計算員工的碳足跡|增加產品售價的藉口|1
42|社會責任債券(Social Bonds)募集資金的主要用途為何?|資助具有正面社會效益的計畫(如基礎設施、就業)|僅用於研發綠色科技|發放股東紅利|支付高階主管薪資|1
43|何謂 ESG 中的「G」(Governance)?|公司治理,包含董事會組成與商業倫理|綠色能源使用比例|全球化佈局|政府關係維護|1
44|下列哪一項不是「綠色金融行動方案 3.0」的核心目標?|減少對石化產業的所有放款|深化永續發展之基本功|凝聚金融業共識|強化氣候風險管理|1
45|企業進行溫室氣體盤查時,辦公室燈具產生的排放屬於?|範疇二(能源間接排放)|範疇一(直接排放)|範疇三(其他間接排放)|不需列入盤查|1
46|下列何者為聯合國「盡職治理守則」鼓勵機構投資人做的事?|與被投資公司進行建設性議合|僅在股價下跌時賣出股票|不干涉公司經營|追求短期投機獲利|1
47|在永續金融中,所謂的「重大性」(Materiality)是指?|議題對組織財務或利害關係人的影響程度|公司規模的大小|投資金額的多寡|員工數量的多寡|1
48|歐盟「碳邊境調整機制」(CBAM)初步適用的產業不包含?|紡織業|水泥業|鋼鐵業|肥料業|1
49|所謂「循環經濟」的核心目標是?|將廢棄物轉化為資源,減少資源耗損|增加產品汰換速度|僅回收紙張與塑膠|提高垃圾焚化爐的效率|1
50|下列何者是 SASB 準則的主要特點?|針對不同產業訂定具財務重大性的揭露指標|僅適用於非營利組織|只關注環境指標|由聯合國直接管轄|1
51|關於「永續連結貸款」(SLL),其特點為何?|利率與借款人的永續績效指標(KPI)掛鉤|資金必須專款專用於綠色計畫|不需進行任何 ESG 審核|僅限於政府機構申請|1
52|我國「氣候變遷因應法」明定我國淨零排放目標年份為?|2050 年|2030 年|2040 年|2060 年|1
53|金融機構簽署「碳會計金融夥伴關係」(PCAF)是為了?|計算投融資組合的溫室氣體排放量|規避碳費徵收|與其他銀行交換客戶名單|減少紙張使用量|1
54|下列哪種方式最能直接降低範疇一的排放?|將自有燃油車更換為電動車|減少辦公室冷氣使用|要求供應商減碳|購買綠電憑證|1
55|SDGs 目標 5 的主要內容為何?|性別平等|消除貧窮|優質教育|潔淨飲水|1
56|TCFD 建議企業在「情境分析」中,應考量哪種溫升情境?|2°C 或更低的情境|僅考慮目前的氣候|5°C 以上的情境|不需考慮氣候情境|1
57|「永續發展路徑圖」要求資本額 100 億元以上的上市櫃公司何時完成合併報表盤查?|2023 年|2024 年|2025 年|2026 年|1
58|下列何者非「綠色債券」投資之範疇?|菸草產業轉型|再生能源設施|能源效率提升|廢棄物處理|1
59|企業編製永續報告書應參考的主要國際準則不包括?|ISO 9001|GRI|SASB|TCFD|1
60|何謂「生物多樣性」風險?|生態系統受損對企業營運產生的衝擊|辦公室綠化不足的風險|員工背景不夠多元的風險|物種太多導致管理困難|1
61|永續投資策略中的「正向篩選」是指?|選取 ESG 表現優於同業的公司|排除所有的化石燃料公司|僅投資於高獲利的公司|隨機挑選公司進行投資|1
62|下列哪一項是金融業推動「綠色金融」的主要挑戰?|缺乏統一的數據格式與揭露標準|市場對綠色產品沒興趣|綠色計畫的利潤太高|政府禁止金融業減碳|1
63|關於「自然相關財務揭露」(TNFD),其架構主要參考自?|TCFD|GRI|京都議定書|巴塞爾協議|1
64|ESG 評級機構的主要職責為何?|評估企業在環境、社會與治理面向的風險與表現|幫企業代寫永續報告書|決定企業的股價|代收政府的碳稅|1
